# of variables,1,Sweep points,601,Parametric points,1,
Vd,Vs,Id,Is,time_s,Id_dens,Ron
1.000000E+1,0.000000E+0,2.997794E-2,-2.997842E-2,1.434273E+0,4.996324E-1,1.000736E-1
9.950000E+0,0.000000E+0,2.989908E-2,-2.989954E-2,1.500095E+0,4.983181E-1,3.804357E+1
9.900000E+0,0.000000E+0,2.981905E-2,-2.981948E-2,1.567909E+0,4.969841E-1,3.748226E+1
9.850000E+0,0.000000E+0,2.973673E-2,-2.973725E-2,1.633702E+0,4.956122E-1,3.644580E+1
9.800000E+0,0.000000E+0,2.965825E-2,-2.965870E-2,1.700547E+0,4.943041E-1,3.822324E+1
9.750000E+0,0.000000E+0,2.957678E-2,-2.957715E-2,1.768340E+0,4.929463E-1,3.682411E+1
9.700000E+0,0.000000E+0,2.949210E-2,-2.949246E-2,1.835161E+0,4.915351E-1,3.543001E+1
9.650000E+0,0.000000E+0,2.941160E-2,-2.941193E-2,1.901982E+0,4.901934E-1,3.726631E+1
9.600000E+0,0.000000E+0,2.932838E-2,-2.932872E-2,1.968801E+0,4.888064E-1,3.604854E+1
9.550000E+0,0.000000E+0,2.924597E-2,-2.924631E-2,2.036730E+0,4.874329E-1,3.640379E+1
9.500000E+0,0.000000E+0,2.916121E-2,-2.916161E-2,2.103578E+0,4.860202E-1,3.539497E+1
9.450000E+0,0.000000E+0,2.907604E-2,-2.907636E-2,2.169371E+0,4.846007E-1,3.522159E+1
9.400000E+0,0.000000E+0,2.899133E-2,-2.899171E-2,2.236192E+0,4.831888E-1,3.541521E+1
9.350000E+0,0.000000E+0,2.890345E-2,-2.890387E-2,2.303012E+0,4.817241E-1,3.413689E+1
9.300000E+0,0.000000E+0,2.881812E-2,-2.881851E-2,2.369764E+0,4.803020E-1,3.515777E+1
9.250000E+0,0.000000E+0,2.873169E-2,-2.873209E-2,2.435667E+0,4.788615E-1,3.471148E+1
9.200000E+0,0.000000E+0,2.864860E-2,-2.864889E-2,2.502487E+0,4.774767E-1,3.610592E+1
9.150000E+0,0.000000E+0,2.855804E-2,-2.855845E-2,2.569308E+0,4.759673E-1,3.312587E+1
9.100000E+0,0.000000E+0,2.846849E-2,-2.846884E-2,2.636128E+0,4.744748E-1,3.350069E+1
9.050000E+0,0.000000E+0,2.837269E-2,-2.837311E-2,2.701951E+0,4.728782E-1,3.131660E+1
9.000000E+0,0.000000E+0,2.828068E-2,-2.828101E-2,2.769768E+0,4.713446E-1,3.260218E+1
8.950000E+0,0.000000E+0,2.818443E-2,-2.818481E-2,2.835591E+0,4.697404E-1,3.116933E+1
8.900000E+0,0.000000E+0,2.809336E-2,-2.809379E-2,2.902411E+0,4.682227E-1,3.294360E+1
8.850000E+0,0.000000E+0,2.799585E-2,-2.799633E-2,2.969232E+0,4.665975E-1,3.076507E+1
8.800000E+0,0.000000E+0,2.790008E-2,-2.790041E-2,3.036052E+0,4.650013E-1,3.132391E+1
8.750000E+0,0.000000E+0,2.780092E-2,-2.780117E-2,3.101874E+0,4.633486E-1,3.025477E+1
8.700000E+0,0.000000E+0,2.769827E-2,-2.769860E-2,3.168695E+0,4.616378E-1,2.922542E+1
8.650000E+0,0.000000E+0,2.759688E-2,-2.759720E-2,3.235515E+0,4.599480E-1,2.958945E+1
8.600000E+0,0.000000E+0,2.749506E-2,-2.749530E-2,3.302335E+0,4.582510E-1,2.946440E+1
8.550000E+0,0.000000E+0,2.739319E-2,-2.739354E-2,3.369252E+0,4.565531E-1,2.944770E+1
8.500000E+0,0.000000E+0,2.728496E-2,-2.728529E-2,3.435358E+0,4.547493E-1,2.771853E+1
8.450000E+0,0.000000E+0,2.717840E-2,-2.717867E-2,3.502089E+0,4.529733E-1,2.815314E+1
8.400000E+0,0.000000E+0,2.707250E-2,-2.707276E-2,3.568306E+0,4.512084E-1,2.833042E+1
8.350000E+0,0.000000E+0,2.696341E-2,-2.696370E-2,3.635154E+0,4.493902E-1,2.750035E+1
8.300000E+0,0.000000E+0,2.685448E-2,-2.685473E-2,3.701947E+0,4.475747E-1,2.753984E+1
8.250000E+0,0.000000E+0,2.674353E-2,-2.674379E-2,3.768767E+0,4.457255E-1,2.703958E+1
8.200000E+0,0.000000E+0,2.663173E-2,-2.663206E-2,3.834624E+0,4.438621E-1,2.683237E+1
8.150000E+0,0.000000E+0,2.651622E-2,-2.651646E-2,3.901438E+0,4.419371E-1,2.597344E+1
8.100000E+0,0.000000E+0,2.639710E-2,-2.639740E-2,3.968258E+0,4.399516E-1,2.518353E+1
8.050000E+0,0.000000E+0,2.628993E-2,-2.629018E-2,4.035070E+0,4.381655E-1,2.799313E+1
8.000000E+0,0.000000E+0,2.616655E-2,-2.616677E-2,4.101104E+0,4.361091E-1,2.431481E+1
7.950000E+0,0.000000E+0,2.604333E-2,-2.604353E-2,4.167925E+0,4.340555E-1,2.434752E+1
7.900000E+0,0.000000E+0,2.592341E-2,-2.592365E-2,4.234821E+0,4.320568E-1,2.501573E+1
7.850000E+0,0.000000E+0,2.579981E-2,-2.580007E-2,4.301389E+0,4.299968E-1,2.427267E+1
7.800000E+0,0.000000E+0,2.567393E-2,-2.567416E-2,4.367587E+0,4.278988E-1,2.383127E+1
7.750000E+0,0.000000E+0,2.554687E-2,-2.554711E-2,4.434407E+0,4.257812E-1,2.361221E+1
7.700000E+0,0.000000E+0,2.541973E-2,-2.541994E-2,4.500262E+0,4.236621E-1,2.359457E+1
7.650000E+0,0.000000E+0,2.529367E-2,-2.529394E-2,4.566972E+0,4.215612E-1,2.379958E+1
7.600000E+0,0.000000E+0,2.516292E-2,-2.516319E-2,4.633821E+0,4.193821E-1,2.294484E+1
7.550000E+0,0.000000E+0,2.502949E-2,-2.502977E-2,4.700613E+0,4.171582E-1,2.248360E+1
7.500000E+0,0.000000E+0,2.489437E-2,-2.489455E-2,4.767452E+0,4.149062E-1,2.220187E+1
7.450000E+0,0.000000E+0,2.475816E-2,-2.475830E-2,4.834273E+0,4.126360E-1,2.202487E+1
7.400000E+0,0.000000E+0,2.462069E-2,-2.462089E-2,4.900940E+0,4.103448E-1,2.182254E+1
7.350000E+0,0.000000E+0,2.448471E-2,-2.448487E-2,4.966763E+0,4.080785E-1,2.206198E+1
7.300000E+0,0.000000E+0,2.434500E-2,-2.434514E-2,5.033582E+0,4.057501E-1,2.147426E+1
7.250000E+0,0.000000E+0,2.420257E-2,-2.420272E-2,5.100402E+0,4.033762E-1,2.106285E+1
7.200000E+0,0.000000E+0,2.405675E-2,-2.405695E-2,5.166464E+0,4.009458E-1,2.057213E+1
7.150000E+0,0.000000E+0,2.391129E-2,-2.391142E-2,5.233362E+0,3.985214E-1,2.062429E+1
7.100000E+0,0.000000E+0,2.376155E-2,-2.376171E-2,5.299546E+0,3.960258E-1,2.003474E+1
7.050000E+0,0.000000E+0,2.361076E-2,-2.361098E-2,5.366564E+0,3.935127E-1,1.989565E+1
7.000000E+0,0.000000E+0,2.345856E-2,-2.345878E-2,5.433627E+0,3.909761E-1,1.971157E+1
6.950000E+0,0.000000E+0,2.330500E-2,-2.330520E-2,5.499537E+0,3.884166E-1,1.953560E+1
6.900000E+0,0.000000E+0,2.315371E-2,-2.315387E-2,5.566561E+0,3.858952E-1,1.982976E+1
6.850000E+0,0.000000E+0,2.299960E-2,-2.299980E-2,5.635086E+0,3.833266E-1,1.946619E+1
6.800000E+0,0.000000E+0,2.283870E-2,-2.283888E-2,5.700943E+0,3.806450E-1,1.864545E+1
6.750000E+0,0.000000E+0,2.267866E-2,-2.267881E-2,5.768040E+0,3.779777E-1,1.874549E+1
6.700000E+0,0.000000E+0,2.251376E-2,-2.251390E-2,5.833829E+0,3.752293E-1,1.819264E+1
6.650000E+0,0.000000E+0,2.234958E-2,-2.234974E-2,5.900503E+0,3.724931E-1,1.827314E+1
6.600000E+0,0.000000E+0,2.218661E-2,-2.218674E-2,5.967725E+0,3.697769E-1,1.840805E+1
6.550000E+0,0.000000E+0,2.201943E-2,-2.201960E-2,6.034385E+0,3.669906E-1,1.794495E+1
6.500000E+0,0.000000E+0,2.184976E-2,-2.184991E-2,6.101041E+0,3.641627E-1,1.768136E+1
6.450000E+0,0.000000E+0,2.167784E-2,-2.167803E-2,6.167642E+0,3.612973E-1,1.744957E+1
6.400000E+0,0.000000E+0,2.150797E-2,-2.150812E-2,6.235579E+0,3.584661E-1,1.766023E+1
6.350000E+0,0.000000E+0,2.134649E-2,-2.134656E-2,6.301941E+0,3.557748E-1,1.857792E+1
6.300000E+0,0.000000E+0,2.117516E-2,-2.117516E-2,6.368732E+0,3.529193E-1,1.751047E+1
6.250000E+0,0.000000E+0,2.100061E-2,-2.100068E-2,6.434586E+0,3.500102E-1,1.718739E+1
6.200000E+0,0.000000E+0,2.082278E-2,-2.082284E-2,6.501376E+0,3.470463E-1,1.686947E+1
6.150000E+0,0.000000E+0,2.064490E-2,-2.064499E-2,6.568223E+0,3.440817E-1,1.686594E+1
6.100000E+0,0.000000E+0,2.046286E-2,-2.046295E-2,6.635016E+0,3.410477E-1,1.647955E+1
