# of variables,1,Sweep points,601,Parametric points,1,
Vd,Vs,Id,Is,time_s,Id_dens,Ron
1.000000E+1,0.000000E+0,2.705424E-2,-2.705485E-2,1.540500E+0,4.509040E-1,1.108884E-1
9.950000E+0,0.000000E+0,2.700044E-2,-2.700099E-2,1.606947E+0,4.500073E-1,5.576335E+1
9.900000E+0,0.000000E+0,2.695137E-2,-2.695186E-2,1.673649E+0,4.491895E-1,6.114007E+1
9.850000E+0,0.000000E+0,2.690445E-2,-2.690500E-2,1.740693E+0,4.484075E-1,6.393858E+1
9.800000E+0,0.000000E+0,2.685703E-2,-2.685759E-2,1.820078E+0,4.476172E-1,6.326300E+1
9.750000E+0,0.000000E+0,2.680851E-2,-2.680904E-2,1.888507E+0,4.468086E-1,6.183249E+1
9.700000E+0,0.000000E+0,2.675898E-2,-2.675955E-2,1.958807E+0,4.459830E-1,6.056757E+1
9.650000E+0,0.000000E+0,2.671522E-2,-2.671572E-2,2.039511E+0,4.452537E-1,6.855130E+1
9.600000E+0,0.000000E+0,2.666887E-2,-2.666936E-2,2.124177E+0,4.444812E-1,6.472743E+1
9.550000E+0,0.000000E+0,2.662257E-2,-2.662312E-2,2.191912E+0,4.437095E-1,6.479253E+1
9.500000E+0,0.000000E+0,2.657933E-2,-2.657985E-2,2.259682E+0,4.429889E-1,6.938707E+1
9.450000E+0,0.000000E+0,2.652942E-2,-2.652991E-2,2.326474E+0,4.421570E-1,6.010422E+1
9.400000E+0,0.000000E+0,2.648218E-2,-2.648261E-2,2.409320E+0,4.413696E-1,6.350245E+1
9.350000E+0,0.000000E+0,2.643379E-2,-2.643433E-2,2.478477E+0,4.405632E-1,6.199910E+1
9.300000E+0,0.000000E+0,2.638721E-2,-2.638782E-2,2.546274E+0,4.397869E-1,6.441163E+1
9.250000E+0,0.000000E+0,2.633529E-2,-2.633573E-2,2.613946E+0,4.389215E-1,5.777361E+1
9.200000E+0,0.000000E+0,2.628605E-2,-2.628652E-2,2.681187E+0,4.381009E-1,6.093420E+1
