# of variables,1,Sweep points,601,Parametric points,1,
Vd,Vs,Id,Is,time_s,Id_dens,Ron
1.000000E+1,0.000000E+0,2.999987E-2,-2.999629E-2,-5.879519E+1,4.999978E-1,1.000004E-1
9.950000E+0,0.000000E+0,2.990844E-2,-2.990673E-2,-5.872915E+1,4.984740E-1,3.281473E+1
9.900000E+0,0.000000E+0,2.982093E-2,-2.982100E-2,-5.866190E+1,4.970155E-1,3.428149E+1
9.850000E+0,0.000000E+0,2.986627E-2,-2.986666E-2,-5.859496E+1,4.977711E-1,-6.617415E+1
9.800000E+0,0.000000E+0,2.980616E-2,-2.980654E-2,-5.851816E+1,4.967694E-1,4.991207E+1
9.750000E+0,0.000000E+0,2.972770E-2,-2.972811E-2,-5.845131E+1,4.954616E-1,3.823413E+1
9.700000E+0,0.000000E+0,2.961484E-2,-2.961526E-2,-5.838516E+1,4.935807E-1,2.658259E+1
9.650000E+0,0.000000E+0,2.960846E-2,-2.960880E-2,-5.830543E+1,4.934744E-1,4.703892E+2
9.600000E+0,0.000000E+0,2.949789E-2,-2.949827E-2,-5.823670E+1,4.916314E-1,2.713022E+1
9.550000E+0,0.000000E+0,2.946794E-2,-2.946829E-2,-5.815452E+1,4.911323E-1,1.001812E+2
9.500000E+0,0.000000E+0,2.938641E-2,-2.938678E-2,-5.808640E+1,4.897736E-1,3.679802E+1
9.450000E+0,0.000000E+0,2.935289E-2,-2.935318E-2,-5.801919E+1,4.892149E-1,8.949340E+1
9.400000E+0,0.000000E+0,2.929767E-2,-2.929802E-2,-5.795310E+1,4.882946E-1,5.433000E+1
9.350000E+0,0.000000E+0,2.921273E-2,-2.921308E-2,-5.786881E+1,4.868788E-1,3.531581E+1
9.300000E+0,0.000000E+0,2.914815E-2,-2.914849E-2,-5.780080E+1,4.858025E-1,4.645686E+1
9.250000E+0,0.000000E+0,2.904667E-2,-2.904698E-2,-5.773241E+1,4.841111E-1,2.956175E+1
9.200000E+0,0.000000E+0,2.897422E-2,-2.897449E-2,-5.766617E+1,4.829037E-1,4.141138E+1
9.150000E+0,0.000000E+0,2.892759E-2,-2.892795E-2,-5.759930E+1,4.821265E-1,6.432930E+1
