# of variables,1,Sweep points,201,Parametric points,1,,,,,
Vg,Vs,Vd,Ig,Is,Id,time_s,Id_dens,Ig_dens,gm,gm_dens
-5.000000E+0,0.000000E+0,5.000000E+0,-1.282669E-4,1.282431E-4,5.464765E-9,1.339892E+0,9.107941E-8,2.137782E-3,-1.600193E-9,-2.666988E-8
-4.965000E+0,0.000000E+0,5.000000E+0,-2.961390E-4,2.961420E-4,5.408758E-9,1.409380E+0,9.014596E-8,4.935650E-3,-1.600193E-9,-2.666988E-8
-4.930000E+0,0.000000E+0,5.000000E+0,-2.893340E-4,2.893380E-4,5.374982E-9,1.481338E+0,8.958304E-8,4.822233E-3,-9.650185E-10,-1.608364E-8
-4.895000E+0,0.000000E+0,5.000000E+0,-2.795986E-4,2.796040E-4,5.327126E-9,1.552194E+0,8.878543E-8,4.659977E-3,-1.367325E-9,-2.278876E-8
-4.860000E+0,0.000000E+0,5.000000E+0,-2.723038E-4,2.723082E-4,5.276509E-9,1.621865E+0,8.794182E-8,4.538397E-3,-1.446183E-9,-2.410305E-8
-4.825000E+0,0.000000E+0,5.000000E+0,-2.656379E-4,2.656428E-4,5.288255E-9,1.692482E+0,8.813759E-8,4.427298E-3,3.355919E-10,5.593198E-9
-4.790000E+0,0.000000E+0,5.000000E+0,-2.604772E-4,2.604822E-4,5.291511E-9,1.765171E+0,8.819185E-8,4.341286E-3,9.301766E-11,1.550294E-9
-4.755000E+0,0.000000E+0,5.000000E+0,-2.529193E-4,2.529248E-4,5.264762E-9,1.837125E+0,8.774603E-8,4.215322E-3,-7.642648E-10,-1.273775E-8
-4.720000E+0,0.000000E+0,5.000000E+0,-2.472051E-4,2.472103E-4,5.212455E-9,1.910085E+0,8.687425E-8,4.120086E-3,-1.494474E-9,-2.490791E-8
-4.685000E+0,0.000000E+0,5.000000E+0,-2.438701E-4,2.438754E-4,5.209167E-9,1.981460E+0,8.681945E-8,4.064502E-3,-9.394390E-11,-1.565732E-9
-4.650000E+0,0.000000E+0,5.000000E+0,-2.405682E-4,2.405746E-4,5.194968E-9,2.055435E+0,8.658280E-8,4.009470E-3,-4.056818E-10,-6.761364E-9
-4.615000E+0,0.000000E+0,5.000000E+0,-2.359517E-4,2.359576E-4,5.163063E-9,2.128642E+0,8.605105E-8,3.932528E-3,-9.115756E-10,-1.519293E-8
-4.580000E+0,0.000000E+0,5.000000E+0,-2.312093E-4,2.312155E-4,5.175111E-9,2.199425E+0,8.625186E-8,3.853488E-3,3.442453E-10,5.737421E-9
-4.545000E+0,0.000000E+0,5.000000E+0,-2.258729E-4,2.258787E-4,5.134829E-9,2.270052E+0,8.558049E-8,3.764548E-3,-1.150914E-9,-1.918190E-8
-4.510000E+0,0.000000E+0,5.000000E+0,-2.216208E-4,2.216265E-4,5.128020E-9,2.342937E+0,8.546700E-8,3.693680E-3,-1.945491E-10,-3.242486E-9
-4.475000E+0,0.000000E+0,5.000000E+0,-2.174695E-4,2.174756E-4,5.111862E-9,2.413844E+0,8.519771E-8,3.624491E-3,-4.616498E-10,-7.694163E-9
-4.440000E+0,0.000000E+0,5.000000E+0,-2.128974E-4,2.129045E-4,5.115143E-9,2.487010E+0,8.525238E-8,3.548291E-3,9.372820E-11,1.562137E-9
-4.405000E+0,0.000000E+0,5.000000E+0,-2.087005E-4,2.087073E-4,5.101128E-9,2.559718E+0,8.501879E-8,3.478342E-3,-4.004416E-10,-6.674026E-9
-4.370000E+0,0.000000E+0,5.000000E+0,-2.046509E-4,2.046577E-4,5.093107E-9,2.647559E+0,8.488512E-8,3.410848E-3,-2.291500E-10,-3.819167E-9
-4.335000E+0,0.000000E+0,5.000000E+0,-1.999571E-4,1.999636E-4,5.070382E-9,2.721388E+0,8.450637E-8,3.332619E-3,-6.492838E-10,-1.082140E-8
-4.300000E+0,0.000000E+0,5.000000E+0,-1.956282E-4,1.956351E-4,5.045677E-9,2.791308E+0,8.409462E-8,3.260470E-3,-7.058608E-10,-1.176435E-8
-4.265000E+0,0.000000E+0,5.000000E+0,-1.915603E-4,1.915665E-4,5.032834E-9,2.864773E+0,8.388056E-8,3.192671E-3,-3.669573E-10,-6.115954E-9
-4.230000E+0,0.000000E+0,5.000000E+0,-1.881702E-4,1.881783E-4,5.023225E-9,2.935210E+0,8.372042E-8,3.136170E-3,-2.745233E-10,-4.575388E-9
-4.195000E+0,0.000000E+0,5.000000E+0,-1.844716E-4,1.844786E-4,4.962224E-9,3.006614E+0,8.270373E-8,3.074527E-3,-1.742911E-9,-2.904851E-8
-4.160000E+0,0.000000E+0,5.000000E+0,-1.807593E-4,1.807656E-4,4.957527E-9,3.076722E+0,8.262545E-8,3.012655E-3,-1.341911E-10,-2.236518E-9
-4.125000E+0,0.000000E+0,5.000000E+0,-1.767713E-4,1.767781E-4,4.939716E-9,3.147494E+0,8.232860E-8,2.946188E-3,-5.088882E-10,-8.481469E-9
-4.090000E+0,0.000000E+0,5.000000E+0,-1.731842E-4,1.731908E-4,4.942207E-9,3.220298E+0,8.237012E-8,2.886403E-3,7.118116E-11,1.186353E-9
-4.055000E+0,0.000000E+0,5.000000E+0,-1.697043E-4,1.697115E-4,4.924576E-9,3.291704E+0,8.207627E-8,2.828405E-3,-5.037367E-10,-8.395612E-9
-4.020000E+0,0.000000E+0,5.000000E+0,-1.661599E-4,1.661670E-4,4.989511E-9,3.363268E+0,8.315851E-8,2.769331E-3,1.855265E-9,3.092109E-8
-3.985000E+0,0.000000E+0,5.000000E+0,-1.625745E-4,1.625817E-4,4.950165E-9,3.436094E+0,8.250275E-8,2.709576E-3,-1.124167E-9,-1.873612E-8
