# of variables,1,Sweep points,201,Parametric points,1,,,,,
Vg,Vs,Vd,Ig,Is,Id,time_s,Id_dens,Ig_dens,gm,gm_dens
-5.000000E+0,0.000000E+0,5.000000E+0,-2.667090E-6,2.660003E-6,7.035923E-9,1.339970E+0,1.172654E-7,4.445149E-5,-1.704249E-9,-2.840416E-8
-4.965000E+0,0.000000E+0,5.000000E+0,-2.689710E-6,2.682875E-6,6.976274E-9,1.410681E+0,1.162712E-7,4.482849E-5,-1.704249E-9,-2.840416E-8
-4.930000E+0,0.000000E+0,5.000000E+0,-2.579777E-6,2.572973E-6,6.948826E-9,1.486424E+0,1.158138E-7,4.299629E-5,-7.842235E-10,-1.307039E-8
-4.895000E+0,0.000000E+0,5.000000E+0,-2.549711E-6,2.542965E-6,6.892993E-9,1.560959E+0,1.148832E-7,4.249519E-5,-1.595232E-9,-2.658720E-8
-4.860000E+0,0.000000E+0,5.000000E+0,-2.507690E-6,2.500973E-6,6.863797E-9,1.631867E+0,1.143966E-7,4.179484E-5,-8.341899E-10,-1.390316E-8
-4.825000E+0,0.000000E+0,5.000000E+0,-2.435291E-6,2.428610E-6,6.831749E-9,1.701766E+0,1.138625E-7,4.058818E-5,-9.156612E-10,-1.526102E-8
-4.790000E+0,0.000000E+0,5.000000E+0,-1.819977E-6,1.813322E-6,6.808968E-9,1.779634E+0,1.134828E-7,3.033294E-5,-6.508825E-10,-1.084804E-8
-4.755000E+0,0.000000E+0,5.000000E+0,-1.647664E-6,1.641045E-6,6.777115E-9,1.851394E+0,1.129519E-7,2.746107E-5,-9.100784E-10,-1.516797E-8
-4.720000E+0,0.000000E+0,5.000000E+0,-1.483452E-6,1.476879E-6,6.737507E-9,1.923396E+0,1.122918E-7,2.472420E-5,-1.131666E-9,-1.886110E-8
-4.685000E+0,0.000000E+0,5.000000E+0,-1.442628E-6,1.436080E-6,6.719332E-9,1.993566E+0,1.119889E-7,2.404380E-5,-5.192799E-10,-8.654664E-9
-4.650000E+0,0.000000E+0,5.000000E+0,-1.313537E-6,1.307015E-6,6.691278E-9,2.083329E+0,1.115213E-7,2.189229E-5,-8.015303E-10,-1.335884E-8
-4.615000E+0,0.000000E+0,5.000000E+0,-1.206876E-6,1.200362E-6,6.687521E-9,2.156461E+0,1.114587E-7,2.011460E-5,-1.073554E-10,-1.789257E-9
-4.580000E+0,0.000000E+0,5.000000E+0,-1.094586E-6,1.088116E-6,6.649727E-9,2.226395E+0,1.108288E-7,1.824309E-5,-1.079835E-9,-1.799724E-8
-4.545000E+0,0.000000E+0,5.000000E+0,-1.024804E-6,1.018332E-6,6.652938E-9,2.311361E+0,1.108823E-7,1.708007E-5,9.176152E-11,1.529359E-9
-4.510000E+0,0.000000E+0,5.000000E+0,-1.018139E-6,1.011696E-6,6.636636E-9,2.502510E+0,1.106106E-7,1.696898E-5,-4.657735E-10,-7.762891E-9
-4.475000E+0,0.000000E+0,5.000000E+0,-9.540769E-7,9.476864E-7,6.578459E-9,2.656829E+0,1.096410E-7,1.590128E-5,-1.662213E-9,-2.770355E-8
-4.440000E+0,0.000000E+0,5.000000E+0,-8.938276E-7,8.874788E-7,6.572413E-9,2.731270E+0,1.095402E-7,1.489713E-5,-1.727253E-10,-2.878755E-9
-4.405000E+0,0.000000E+0,5.000000E+0,-8.193809E-7,8.130282E-7,6.565430E-9,2.804332E+0,1.094238E-7,1.365635E-5,-1.995229E-10,-3.325382E-9
-4.370000E+0,0.000000E+0,5.000000E+0,-7.760008E-7,7.696610E-7,6.547079E-9,2.886523E+0,1.091180E-7,1.293335E-5,-5.243171E-10,-8.738618E-9
-4.335000E+0,0.000000E+0,5.000000E+0,-7.372924E-7,7.309488E-7,6.545239E-9,2.959131E+0,1.090873E-7,1.228821E-5,-5.255479E-11,-8.759131E-10
-4.300000E+0,0.000000E+0,5.000000E+0,-6.965836E-7,6.902554E-7,6.529121E-9,3.030949E+0,1.088187E-7,1.160973E-5,-4.605205E-10,-7.675342E-9
